"Time","Sun Mass","Sun Position X","Sun Position Y","Sun Position Z","Sun Velocity X","Sun Velocity Y","Sun Velocity Z","Sun Acceleration X","Sun Acceleration Y","Sun Acceleration Z","Sun Force X","Sun Force Y","Sun Force Z","Earth Mass","Earth Position X","Earth Position Y","Earth Position Z","Earth Velocity X","Earth Velocity Y","Earth Velocity Z","Earth Acceleration X","Earth Acceleration Y","Earth Acceleration Z","Earth Force X","Earth Force Y","Earth Force Z","Moon Mass","Moon Position X","Moon Position Y","Moon Position Z","Moon Velocity X","Moon Velocity Y","Moon Velocity Z","Moon Acceleration X","Moon Acceleration Y","Moon Acceleration Z","Moon Force X","Moon Force Y","Moon Force Z"
"0.3674","2.707116E+07","2.353144E-06","0","-0.0002375366","1.225244E-05","0","-0.0006464606","3.334492E-05","0","6.429781E-07","902.6856","0","17.40616","81.28001","4055.895","0","78.17229","-4.055192","0","212.7495","-11.03438","0","-0.1931566","-896.8747","0","-15.69977","1","4046.276","0","80.91517","-2.081812","0","220.0412","-5.810893","0","-1.706394","-5.810893","0","-1.706394"
"0.3841","2.707116E+07","2.567059E-06","0","-0.0002483323","1.28093E-05","0","-0.0006464499","3.334435E-05","0","6.722007E-07","902.6701","0","18.19725","81.28001","4055.824","0","81.72515","-4.239466","0","212.7463","-11.03395","0","-0.2019631","-896.8395","0","-16.41557","1","4046.24","0","84.58938","-2.178854","0","220.0127","-5.830633","0","-1.781686","-5.830633","0","-1.781686"
"0.4008","2.707116E+07","2.790274E-06","0","-0.0002591278","1.336615E-05","0","-0.0006464386","3.334375E-05","0","7.014227E-07","902.6539","0","18.98833","81.28001","4055.75","0","85.27796","-4.423733","0","212.743","-11.0335","0","-0.2107733","-896.8027","0","-17.13166","1","4046.202","0","88.26309","-2.276226","0","219.983","-5.851228","0","-1.856669","-5.851228","0","-1.856669"
"0.4175","2.707116E+07","3.022788E-06","0","-0.0002699232","1.392299E-05","0","-0.0006464269","3.334312E-05","0","7.306442E-07","902.637","0","19.77939","81.28001","4055.674","0","88.83071","-4.607992","0","212.7394","-11.03302","0","-0.2195872","-896.7643","0","-17.84805","1","4046.162","0","91.93629","-2.373941","0","219.952","-5.87267","0","-1.931335","-5.87267","0","-1.931335"
"0.4342","2.707116E+07","3.264601E-06","0","-0.0002807183","1.447982E-05","0","-0.0006464147","3.334248E-05","0","7.598653E-07","902.6195","0","20.57043","81.28001","4055.594","0","92.3834","-4.792243","0","212.7358","-11.03254","0","-0.228405","-896.7245","0","-18.56476","1","4046.121","0","95.60895","-2.472015","0","219.9197","-5.894951","0","-2.005674","-5.894951","0","-2.005674"
"0.4509","2.707116E+07","3.515713E-06","0","-0.0002915132","1.503664E-05","0","-0.000646402","3.33418E-05","0","7.890855E-07","902.6011","0","21.36146","81.28001","4055.51","0","95.93602","-4.976487","0","212.7319","-11.03202","0","-0.2372282","-896.6828","0","-19.28191","1","4046.078","0","99.28104","-2.570461","0","219.8862","-5.918275","0","-2.07955","-5.918275","0","-2.07955"
"0.4676","2.707116E+07","3.776124E-06","0","-0.0003023079","1.559345E-05","0","-0.0006463889","3.334109E-05","0","8.183052E-07","902.5819","0","22.15247","81.28001","4055.424","0","99.48858","-5.160721","0","212.728","-11.03149","0","-0.2460556","-896.6395","0","-19.9994","1","4046.033","0","102.9526","-2.669296","0","219.8515","-5.942402","0","-2.153072","-5.942402","0","-2.153072"
"0.4843","2.707116E+07","4.045833E-06","0","-0.0003131024","1.615025E-05","0","-0.0006463752","3.334036E-05","0","8.475244E-07","902.5623","0","22.94347","81.28001","4055.335","0","103.0411","-5.344947","0","212.7239","-11.03094","0","-0.2548856","-896.5952","0","-20.7171","1","4045.987","0","106.6235","-2.768534","0","219.8155","-5.967109","0","-2.226367","-5.967109","0","-2.226367"
"0.501","2.707116E+07","4.32484E-06","0","-0.0003238966","1.670703E-05","0","-0.000646361","3.333961E-05","0","8.767427E-07","902.5417","0","23.73444","81.28001","4055.243","0","106.5935","-5.529164","0","212.7196","-11.03037","0","-0.2637214","-896.549","0","-21.43528","1","4045.939","0","110.2938","-2.868185","0","219.7784","-5.992818","0","-2.299165","-5.992818","0","-2.299165"
"0.5177","2.707116E+07","4.613145E-06","0","-0.0003346906","1.72638E-05","0","-0.0006463464","3.333882E-05","0","9.059605E-07","902.5205","0","24.5254","81.28001","4055.147","0","110.1458","-5.713372","0","212.7152","-11.02979","0","-0.2725616","-896.5012","0","-22.15381","1","4045.89","0","113.9634","-2.968265","0","219.74","-6.019298","0","-2.371588","-6.019298","0","-2.371588"
"0.5344","2.707116E+07","4.910749E-06","0","-0.0003454843","1.782056E-05","0","-0.0006463312","3.333801E-05","0","9.351774E-07","902.4987","0","25.31634","81.28001","4055.049","0","113.6981","-5.897569","0","212.7107","-11.02918","0","-0.281408","-896.4519","0","-22.87284","1","4045.839","0","117.6324","-3.068787","0","219.7003","-6.046741","0","-2.443491","-6.046741","0","-2.443491"
"0.5511","2.707116E+07","5.21765E-06","0","-0.0003562778","1.83773E-05","0","-0.0006463156","3.333717E-05","0","9.643934E-07","902.4759","0","26.10725","81.28001","4054.947","0","117.2503","-6.081757","0","212.706","-11.02855","0","-0.2902589","-896.4009","0","-23.59225","1","4045.786","0","121.3007","-3.169767","0","219.6595","-6.074924","0","-2.515","-6.074924","0","-2.515"
"0.5678","2.707116E+07","5.533848E-06","0","-0.000367071","1.893404E-05","0","-0.0006462995","3.333631E-05","0","9.93609E-07","902.4525","0","26.89815","81.28001","4054.843","0","120.8024","-6.265934","0","212.7011","-11.02791","0","-0.2991146","-896.3487","0","-24.31203","1","4045.731","0","124.9684","-3.271219","0","219.6175","-6.103833","0","-2.586113","-6.103833","0","-2.586113"
"0.5845","2.707116E+07","5.859344E-06","0","-0.0003778639","1.949075E-05","0","-0.0006462829","3.333542E-05","0","1.022824E-06","902.4284","0","27.68902","81.28001","4054.735","0","124.3544","-6.450099","0","212.6961","-11.02725","0","-0.3079767","-896.2947","0","-25.03235","1","4045.675","0","128.6352","-3.373152","0","219.5744","-6.133654","0","-2.656674","-6.133654","0","-2.656674"
"0.6012","2.707116E+07","6.194136E-06","0","-0.0003886565","2.004745E-05","0","-0.0006462659","3.333451E-05","0","1.052037E-06","902.4037","0","28.47987","81.28001","4054.624","0","127.9064","-6.634254","0","212.691","-11.02657","0","-0.3168435","-896.2396","0","-25.75304","1","4045.616","0","132.3014","-3.475585","0","219.53","-6.164178","0","-2.72683","-6.164178","0","-2.72683"
"0.6179","2.707116E+07","6.538225E-06","0","-0.0003994489","2.060414E-05","0","-0.0006462483","3.333356E-05","0","1.08125E-06","902.378","0","29.2707","81.28001","4054.51","0","131.4582","-6.818398","0","212.6857","-11.02586","0","-0.325717","-896.1824","0","-26.47428","1","4045.557","0","135.9668","-3.578526","0","219.4845","-6.19557","0","-2.796414","-6.19557","0","-2.796414"
"0.6346","2.707116E+07","6.891611E-06","0","-0.0004102409","2.116081E-05","0","-0.0006462302","3.333259E-05","0","1.110462E-06","902.3518","0","30.0615","81.28001","4054.393","0","135.01","-7.00253","0","212.6803","-11.02515","0","-0.3345954","-896.1242","0","-27.19592","1","4045.495","0","139.6314","-3.681992","0","219.4377","-6.22764","0","-2.865583","-6.22764","0","-2.865583"
"0.6513","2.707116E+07","7.254292E-06","0","-0.0004210327","2.171747E-05","0","-0.0006462117","3.333159E-05","0","1.139673E-06","902.3249","0","30.85228","81.28001","4054.273","0","138.5616","-7.18665","0","212.6747","-11.02442","0","-0.3434786","-896.0645","0","-27.91795","1","4045.432","0","143.2952","-3.785994","0","219.3899","-6.260371","0","-2.934334","-6.260371","0","-2.934334"
"0.668","2.707116E+07","7.62627E-06","0","-0.0004318241","2.22741E-05","0","-0.0006461926","3.333057E-05","0","1.168884E-06","902.2972","0","31.64304","81.28001","4054.15","0","142.1132","-7.370758","0","212.6689","-11.02366","0","-0.3523688","-896.0033","0","-28.64054","1","4045.367","0","146.9582","-3.890542","0","219.3409","-6.293921","0","-3.002498","-6.293921","0","-3.002498"
"0.6847","2.707116E+07","8.007542E-06","0","-0.0004426152","2.283072E-05","0","-0.0006461731","3.332952E-05","0","1.198093E-06","902.2689","0","32.43377","81.28001","4054.024","0","145.6647","-7.554853","0","212.663","-11.02289","0","-0.3612638","-895.9407","0","-29.36353","1","4045.3","0","150.6204","-3.995651","0","219.2908","-6.328112","0","-3.070238","-6.328112","0","-3.070238"
"0.7014","2.707116E+07","8.39811E-06","0","-0.0004534059","2.338733E-05","0","-0.0006461531","3.332845E-05","0","1.227301E-06","902.2397","0","33.22447","81.28001","4053.895","0","149.2161","-7.738936","0","212.657","-11.0221","0","-0.3701679","-895.8765","0","-30.08725","1","4045.232","0","154.2817","-4.10133","0","219.2395","-6.363245","0","-3.137213","-6.363245","0","-3.137213"
"0.7181","2.707116E+07","8.797973E-06","0","-0.0004641963","2.394391E-05","0","-0.0006461326","3.332735E-05","0","1.256508E-06","902.2099","0","34.01513","81.28001","4053.762","0","152.7673","-7.923005","0","212.6508","-11.02129","0","-0.379077","-895.8109","0","-30.81138","1","4045.161","0","157.9421","-4.207596","0","219.1871","-6.398984","0","-3.203756","-6.398984","0","-3.203756"
"0.7348","2.707116E+07","9.207131E-06","0","-0.0004749864","2.450048E-05","0","-0.0006461117","3.332621E-05","0","1.285714E-06","902.1793","0","34.80578","81.28001","4053.627","0","156.3185","-8.10706","0","212.6445","-11.02047","0","-0.387991","-895.744","0","-31.53591","1","4045.089","0","161.6016","-4.314459","0","219.1336","-6.435313","0","-3.269869","-6.435313","0","-3.269869"
"0.7515","2.707116E+07","9.625584E-06","0","-0.0004857761","2.505703E-05","0","-0.0006460902","3.332506E-05","0","1.31492E-06","902.1481","0","35.5964","81.28001","4053.489","0","159.8696","-8.291102","0","212.638","-11.01963","0","-0.3969122","-895.6757","0","-32.26102","1","4045.016","0","165.2602","-4.421928","0","219.079","-6.472375","0","-3.335377","-6.472375","0","-3.335377"
"0.7682","2.707116E+07","1.005333E-05","0","-0.0004965654","2.561356E-05","0","-0.0006460682","3.332388E-05","0","1.344124E-06","902.1161","0","36.38699","81.28001","4053.347","0","163.4205","-8.47513","0","212.6314","-11.01877","0","-0.4058404","-895.606","0","-32.98671","1","4044.94","0","168.9179","-4.530017","0","219.0233","-6.510149","0","-3.400278","-6.510149","0","-3.400278"
"0.7849","2.707116E+07","1.049037E-05","0","-0.0005073544","2.617006E-05","0","-0.0006460458","3.332267E-05","0","1.373327E-06","902.0834","0","37.17754","81.28001","4053.202","0","166.9713","-8.659143","0","212.6246","-11.0179","0","-0.4147757","-895.5347","0","-33.71297","1","4044.863","0","172.5747","-4.638736","0","218.9665","-6.548628","0","-3.464569","-6.548628","0","-3.464569"
"0.8016","2.707116E+07","1.09367E-05","0","-0.0005181429","2.672655E-05","0","-0.0006460228","3.332144E-05","0","1.402529E-06","902.0501","0","37.96808","81.28001","4053.055","0","170.522","-8.843143","0","212.6177","-11.01701","0","-0.4237183","-895.4623","0","-34.43983","1","4044.783","0","176.2304","-4.748098","0","218.9086","-6.58778","0","-3.528248","-6.58778","0","-3.528248"
"0.8183","2.707116E+07","1.139233E-05","0","-0.0005289312","2.728302E-05","0","-0.0006459994","3.332018E-05","0","1.431729E-06","902.0158","0","38.75856","81.28001","4052.904","0","174.0726","-9.027126","0","212.6106","-11.01609","0","-0.4326678","-895.3882","0","-35.16724","1","4044.702","0","179.8852","-4.858114","0","218.8497","-6.62759","0","-3.591314","-6.62759","0","-3.591314"
"0.835","2.707116E+07","1.185725E-05","0","-0.000539719","2.783947E-05","0","-0.0006459755","3.331888E-05","0","1.460928E-06","901.9808","0","39.54902","81.28001","4052.75","0","177.6231","-9.211095","0","212.6034","-11.01517","0","-0.4416246","-895.3128","0","-35.89525","1","4044.619","0","183.539","-4.968795","0","218.7897","-6.668047","0","-3.653768","-6.668047","0","-3.653768"
"0.8516999","2.707116E+07","1.233146E-05","0","-0.0005505063","2.839589E-05","0","-0.0006459511","3.331758E-05","0","1.490127E-06","901.9454","0","40.33946","81.28001","4052.593","0","181.1735","-9.395048","0","212.596","-11.01423","0","-0.4505863","-895.2365","0","-36.62366","1","4044.534","0","187.1918","-5.080151","0","218.7287","-6.709009","0","-3.715797","-6.709009","0","-3.715797"
"0.8684","2.707116E+07","1.281496E-05","0","-0.0005612933","2.89523E-05","0","-0.0006459262","3.331623E-05","0","1.519324E-06","901.9091","0","41.12985","81.28001","4052.433","0","184.7237","-9.578986","0","212.5885","-11.01327","0","-0.4595573","-895.1584","0","-37.35282","1","4044.448","0","190.8435","-5.192192","0","218.6667","-6.750699","0","-3.77703","-6.750699","0","-3.77703"
"0.8851","2.707116E+07","1.330776E-05","0","-0.0005720799","2.950868E-05","0","-0.0006459008","3.331487E-05","0","1.548519E-06","901.8721","0","41.92021","81.28001","4052.27","0","188.2738","-9.762908","0","212.5808","-11.01229","0","-0.4685354","-895.079","0","-38.08256","1","4044.359","0","194.4942","-5.304928","0","218.6036","-6.792992","0","-3.837652","-6.792992","0","-3.837652"
"0.9018","2.707116E+07","1.380985E-05","0","-0.000582866","3.006504E-05","0","-0.000645875","3.331347E-05","0","1.577713E-06","901.8343","0","42.71053","81.28001","4052.104","0","191.8238","-9.946814","0","212.573","-11.0113","0","-0.4775227","-894.9984","0","-38.81305","1","4044.269","0","198.1438","-5.418371","0","218.5395","-6.835967","0","-3.89748","-6.835967","0","-3.89748"
"0.9184999","2.707116E+07","1.432122E-05","0","-0.0005936516","3.062137E-05","0","-0.0006458486","3.331205E-05","0","1.606906E-06","901.7958","0","43.50082","81.28001","4051.935","0","195.3736","-10.1307","0","212.565","-11.01029","0","-0.4865148","-894.9164","0","-39.54393","1","4044.176","0","201.7923","-5.532532","0","218.4744","-6.879401","0","-3.956891","-6.879401","0","-3.956891"
"0.9352","2.707116E+07","1.484189E-05","0","-0.0006044368","3.117769E-05","0","-0.0006458218","3.33106E-05","0","1.636098E-06","901.7566","0","44.29107","81.28001","4051.763","0","198.9233","-10.31457","0","212.5569","-11.00927","0","-0.4955139","-894.8333","0","-40.27537","1","4044.082","0","205.4398","-5.647418","0","218.4083","-6.923381","0","-4.015702","-6.923381","0","-4.015702"
"0.9519","2.707116E+07","1.537185E-05","0","-0.0006152216","3.173397E-05","0","-0.0006457945","3.330913E-05","0","1.665288E-06","901.7168","0","45.08129","81.28001","4051.587","0","202.4729","-10.49843","0","212.5486","-11.00823","0","-0.5045222","-894.7488","0","-41.00757","1","4043.986","0","209.0861","-5.763038","0","218.3413","-6.967999","0","-4.073722","-6.967999","0","-4.073722"
"0.9686","2.707116E+07","1.59111E-05","0","-0.0006260059","3.229023E-05","0","-0.0006457667","3.330763E-05","0","1.694478E-06","901.6762","0","45.87147","81.28001","4051.409","0","206.0223","-10.68227","0","212.5402","-11.00717","0","-0.5135373","-894.6631","0","-41.74032","1","4043.888","0","212.7312","-5.879404","0","218.2732","-7.013127","0","-4.131152","-7.013127","0","-4.131152"
"0.9852999","2.707116E+07","1.645963E-05","0","-0.0006367898","3.284647E-05","0","-0.0006457384","3.330611E-05","0","1.723665E-06","901.635","0","46.66161","81.28001","4051.228","0","209.5716","-10.86609","0","212.5316","-11.0061","0","-0.5225617","-894.5762","0","-42.47382","1","4043.788","0","216.3752","-5.996523","0","218.2043","-7.058861","0","-4.187794","-7.058861","0","-4.187794"
"1.002","2.707116E+07","1.701746E-05","0","-0.0006475731","3.340268E-05","0","-0.0006457096","3.330455E-05","0","1.752851E-06","901.5928","0","47.45171","81.28001","4051.043","0","213.1207","-11.04989","0","212.5229","-11.00502","0","-0.5315927","-894.4878","0","-43.20786","1","4043.686","0","220.0181","-6.114406","0","218.1343","-7.105077","0","-4.243853","-7.105077","0","-4.243853"
"1.0187","2.707116E+07","1.758457E-05","0","-0.000658356","3.395887E-05","0","-0.0006456803","3.330297E-05","0","1.782035E-06","901.5501","0","48.24176","81.28001","4050.855","0","216.6697","-11.23367","0","212.514","-11.00391","0","-0.5406327","-894.3983","0","-43.94263","1","4043.582","0","223.6597","-6.233061","0","218.0634","-7.151855","0","-4.299135","-7.151855","0","-4.299135"
"1.0354","2.707116E+07","1.816097E-05","0","-0.0006691384","3.451503E-05","0","-0.0006456506","3.330137E-05","0","1.811219E-06","901.5066","0","49.03179","81.28001","4050.665","0","220.2185","-11.41744","0","212.505","-11.0028","0","-0.5496818","-894.3074","0","-44.67814","1","4043.475","0","227.3002","-6.352497","0","217.9917","-7.199165","0","-4.353648","-7.199165","0","-4.353648"
"1.0521","2.707116E+07","1.874666E-05","0","-0.0006799203","3.507116E-05","0","-0.0006456203","3.329974E-05","0","1.8404E-06","901.4626","0","49.82177","81.28001","4050.471","0","223.7672","-11.60118","0","212.4958","-11.00167","0","-0.5587375","-894.2157","0","-45.41418","1","4043.367","0","230.9394","-6.472723","0","217.9189","-7.246933","0","-4.407589","-7.246933","0","-4.407589"
"1.0688","2.707116E+07","1.934163E-05","0","-0.0006907016","3.562726E-05","0","-0.0006455895","3.329807E-05","0","1.86958E-06","901.4175","0","50.6117","81.28001","4050.274","0","227.3157","-11.78491","0","212.4865","-11.00052","0","-0.5678017","-894.1224","0","-46.15092","1","4043.257","0","234.5775","-6.593746","0","217.8453","-7.295194","0","-4.460774","-7.295194","0","-4.460774"
"1.0855","2.707116E+07","1.99459E-05","0","-0.0007014824","3.618334E-05","0","-0.0006455583","3.32964E-05","0","1.898759E-06","901.3721","0","51.4016","81.28001","4050.074","0","230.8641","-11.96862","0","212.477","-10.99936","0","-0.5768725","-894.0282","0","-46.8882","1","4043.145","0","238.2142","-6.715576","0","217.7708","-7.34389","0","-4.513398","-7.34389","0","-4.513398"
